negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Amur Oblast,2021-01-05,16533,105,14777,1651
Russia,Arkhangelsk Oblast,2021-01-05,44755,447,35947,8361
Russia,Astrakhan Oblast,2021-01-05,19877,405,13052,6420
Russia,Bashkortostan Republic,2021-01-05,19910,149,15281,4480
Russia,Belgorod Oblast,2021-01-05,22765,272,20480,2013
Russia,Bryansk Oblast,2021-01-05,24142,218,21843,2081
Russia,Buryatia Republic,2021-01-05,26537,604,23868,2065
Russia,Chechen Republic,2021-01-05,9207,95,5249,3863
Russia,Chelyabinsk Oblast,2021-01-05,36208,560,23371,12277
Russia,Chukotka Autonomous Okrug,2021-01-05,546,4,485,57
Russia,Chuvashia Republic,2021-01-05,16905,580,15232,1093
Russia,Dagestan Republic,2021-01-05,24255,1138,20920,2197
Russia,Ingushetia Republic,2021-01-05,12482,143,10495,1844
Russia,Irkutsk Oblast,2021-01-05,41850,1281,36738,3831
Russia,Ivanovo Oblast,2021-01-05,22191,546,16862,4783
Russia,Jewish Autonomous Okrug,2021-01-05,3827,73,3084,670
Russia,Kabardino-Balkarian Republic,2021-01-05,16325,271,14511,1543
Russia,Kaliningrad Oblast,2021-01-05,18862,187,17043,1632
Russia,Kalmykia Republic,2021-01-05,15254,202,12774,2278
Russia,Kaluga Oblast,2021-01-05,21889,184,20260,1445
Russia,Kamchatka Krai,2021-01-05,10476,82,9186,1208
Russia,Karachay-Cherkess Republic,2021-01-05,15560,42,13995,1523
Russia,Karelia Republic,2021-01-05,29237,171,23171,5895
Russia,Kemerovo Oblast,2021-01-05,26427,479,23543,2405
Russia,Khabarovsk Krai,2021-01-05,36750,204,32495,4051
Russia,Khakassia Republic,2021-01-05,18080,285,15135,2660
Russia,Khanty-Mansi Autonomous Okrug,2021-01-05,42415,562,38716,3137
Russia,Kirov Oblast,2021-01-05,26804,235,20425,6144
Russia,Komi Republic,2021-01-05,31603,593,29629,1381
Russia,Kostroma Oblast,2021-01-05,15365,241,11551,3573
Russia,Krasnodar Krai,2021-01-05,28663,1006,19215,8442
Russia,Krasnoyarsk Krai,2021-01-05,48113,1790,43000,3323
Russia,Kurgan Oblast,2021-01-05,12525,190,10989,1346
Russia,Kursk Oblast,2021-01-05,21668,314,19391,1963
Russia,Leningrad Oblast,2021-01-05,24933,275,22304,2354
Russia,Lipetsk Oblast,2021-01-05,16855,275,12592,3988
Russia,Magadan Oblast,2021-01-05,7191,65,6653,473
Russia,Mari El Republic,2021-01-05,9435,125,8342,968
